414314,414315,"What do people think about Turkey?","What do you know about Turkey as a country? What do you think about Turkish people?",True
510214,784498,"Are banks open on Sunday?","What is tidal locking?",False
596110,666882,"Why did my cheese curdle in my soup?","Why is India not able to create technology of her own in the high tech sector?",False
601160,167739,"Which are the best website design and development companies in Delhi NCR?","Why is sex important in a good relationship?",False
124384,175805,"What is the most thoughtful gift to give a girl for secret santa?","What are the most upvoted answers on Quora?",False
339264,339263,"How can one create a dog shelter that would make money?","How can one create a dog shelter that would earn money?",True
212878,123218,"What should be the best policy to reduce pollution in delhi?","What are various blogs related to mobile app development that accept guest posts?",False
331829,331830,"If Hillary Clinton wins, how would she address the concerns that average Donald Trump supporter has today?","If Hillary Clinton is elected, will she address any Republican concerns (i.e. illegal immigration, islam/isis, ect.)?",True
438243,438244,"A long distance relationship - does this work?","Do long distance relationships last?",True
273474,9500,"Which major studio should purchase Aardman Animation studios?","What are some of the inventions from the bronze age? How are they still used?",False
260527,326846,"What can I do about a bruise that won't go away?","Why is money more important than happiness?",False
29850,671275,"What was your most embarrassing experience?","What are the best books to read regarding Chanakya's life?",False
612912,612911,"How does one get a research internship at IISc?","How can I get an internship at IISc?",True
107545,107546,"How do I edit a question I asked on Quora?","How do I edit a question after I already posted it on Quora?",True
697372,697373,"How can I message some one on Quora?","How can I send a private message through Quora?",True
723795,681782,"What do you want to accomplish before you die?","How do we know that two parallel lines meet at infinity?",False
430494,281811,"Who actually invented Quora?","Can the Electoral College vote for anyone they want?",False
329883,604300,"Why is talking about my fetish online easier?","How did Donald Trump got elected when there are so many people against him?",False
688807,199054,"What are some of the best wineries to visit in Napa?","How do I search a person by photo?",False
475492,530137,"I applied oil to my hair just after straightening. And now the problem is that the oil has stuck to my hair even after repeated washing with shampoo. How can I fix this?","How can one improve his writing skills?",False
338886,210090,"I miss my family. What should I do?","What is the best way to sell a commercial property?",False
294509,294510,"What led to Cyrus Mistry ouster from TATA GROUP?","Why was cyrus mistry removed?",True
59463,682347,"Does past academic record matters in RBI selection process?","Which type of earrings are popular these days?",False
490877,152656,"How possible is it to get pregnant one day after my 3 day period?","Which is the best book in fiction?",False
53811,53812,"How do I use GitHub and whats the use of it?","What is GitHub for a beginner and how to get started with it?",True
535222,535223,"What is the QuickBooks installation support phone number?","What are the best intuit quickbooks support plans?",True
119481,575846,"Can anyone read minds?","How do I stop thinking with my dick and start thinking with my head?",False
529810,341210,"Does extraterrestrial life exist?","What is the actual use of marker interfaces in Java?",False
409964,409965,"Are some Indian tribes in the American southwest descendants of early Portuguese fishermen?","Some Indian tribes in the American southwest, are they descendants of early Portuguese fishermen?",True
788504,788505,"Why are independent schools better than public schools?","Are private schools really that much better than public schools?",True
547452,274131,"What does VPN do on my iPhone?","What else can I do to get over a breakup?",False
18434,138046,"Is hypnotism real? If yes, how does it work? Can you give a real life example?","Is Hypnotism real? How does it work?",True
378898,378899,"Will I ever find someone that'll love me as an introvert?","Will I ever find someone who loves me ? I'm an introvert with 0 friends?",True
525956,525957,"What are the ways to earn money while studying?","How can I earn money during college?",True
465189,465190,"What should half an 8 ball weigh in meth?","What should an 8 ball of meth weigh?",True
600219,600220,"Why we can feel stars twinkling?","Why do the stars in the sky flicker?",True
318616,666889,"What are the best websites to watch dubbed anime?","What is the difference between a software developer and a software architect?",False
683653,97296,"can anyone translate this picture to English please","How do I start a conversation with strangers?",False
342770,211687,"What are the career options after 12 in PCB?","What advice do you have for a high school freshman?",False
606936,327439,"What are the best restaurants in Irvine, California?","How would you define a true friend?",False
645678,645679,"What are the new technology you heard?","What are some new technologies?",True
162089,662892,"CPM rates from most websites are ridiculous, do media planners really pay $50-$100 CPM rates these days?","What can I do to avoid feeling sleepy in the afternoon?",True
569837,569838,"What's the weirdest dream you've ever had that you can remember?","What was the weirdest dream you have had?",True
726348,26172,"How can I speak English fluently and fast?","How do I bake a cake in a microwave oven?",False
160909,160910,"Is first sex painful?","Is first time sex painful to females?",True
770205,388283,"What are the best books, topics, and ways to prepare for UGC NET English literature?","How can I release my stress?",False
25189,375440,"How do I earn money online?","How do I make $500 a week?",False
161715,408208,"Is washing hair everyday with shampoo harmful?","Which other animals have their periods?",False
196782,466772,"How can I block Hillary Clinton on Quora?","How close are we (or not close) right now to World War 3?",False
346818,732902,"How good or bad is oral sex?","Which is the best SEO services company in India?",False
94415,700125,"What would be Hillary clinton's policy on India?","Why is every question I post on Quora marked as needing clarification?",False
505370,505371,"What are the steps to be taken to become an IAS officer?","What are the steps to become an IAS officer?",True
521897,705521,"Has anyone overcome depression by themselves without external help?","Is Donald Trump racist?",False
607559,454360,"Are there any theories on what caused the big bang?","How was Big Bang created?",True
647180,48745,"What are 10 everyday problems we all face and if they are solved, can make somebody a multi billionaire?","Do I lose page rank if adding many internal links to a page?",False
696055,436084,"Is Shahrukh Khan's nature nice or not?","Why do some people wake up sweating in the morning?",False
34532,84593,"Why do wars get started?","What can I do to get an interview at Google?",False
611244,74178,"Why are Jews so rich?","How should India respond to Uri attacks?",False
315616,525111,"How can I come out of my comfort zone and stay concentrated?","What are some of the must read books in Malayalam?",False
752382,706545,"What are the best resources for beginners to learn and start to become a UI Designer?","What are the advantages and disadvantages of using a credit card?",False
757532,462753,"India: Are there any viable ways to retrieve black money?","What are some of the best pictures?",False
309452,113015,"Is Julian Assange a hero or villain?","What does it feel like to die / near death?",True
680228,747211,"Is Donald Trump going to become president?","How would you evaluate Elizabeth I? What aspects would you come from?",False
769087,344464,"What are all the available options for government jobs after completing B.Tech in mechanical engineering?","What do Israelis think of Pakistan?",False
56696,169350,"What are the Similarities between Pakistan and Israel?","Is it possible to login to Facebook without password?",False
97569,521223,"Was there anyone who prospered (legally) during the Great Depression?","What's your regular morning routine?",False
199227,199228,"How do I balance the need to be comfortable and push myself out of my comfort zone?","How can I push myself out of my comfort zone?",True
350900,785792,"Which is the best book for java programming?","What would be the pros and cons of legalization of prostitution in India?",False
166501,495305,"How is ""Game of Thrones"" similar to ""Romance of the Three Kingdoms""? How is it different?","Where is the Xiaomi service center in Bangalore?",False
510270,510271,"How can I earn money online without investment?","Can I make money online without investing?",True
243344,596251,"What are some amazing engineering facts in the Indian Railways?","What is the best phone I can get for below 15k?",False
699281,787941,"Is it true that marijuana can cure cancer? Are there any scientific researches to show evidences?","A photon leaves the sun, hits a leaf, then my retina. Did the photon that hit my retina contribute to the plant's photosynthesis at all?",False
430076,789183,"Is San Jose State University a party school?","Why should I answer a question on Quora?",False
34573,34574,"Which country has most beautiful girls?","Which country has the most beautiful girls? Why?",True
394138,540211,"How do dogs get pregnant?","What is the favorite sport of Melania Trump?",False
337190,337191,"Is it lame to wear glasses when you don't need them?","Is it okay to wear glasses to look good when I don't really need them? What do I tell people when I occasionally wear them and I don't wear them at other times?",True
491024,328040,"Why is my Pug/Cavalier mix puppy afraid of cats?","Why can't any one answer my questions?",False
742363,560844,"Can I make money online without investing?","What is AWS code commit?",False
551288,295030,"Can you take a pregnancy test in the afternoon?","Which laptop should I buy in a budget of Rs. 60000 i.e about $1000?",False
140348,140349,"Can we get a second hand car in EMI?","How can I get a second hand car in EMI?",True
126635,126636,"Is it possible to make time machine and do time travel?","Is time travel possible in next 5 years?",True
422163,56906,"How do I know that she like me?","Who is better, Trump or Clinton?",False
391182,50820,"How do I gain confidence?","Why do people try to ask silly questions on Quora rather than googling it?",False
267092,41655,"On what sites can I watch movies with English subtitles for free?","How can black money brought out by discontinuing 500 and 1000 notes?",False
383511,520271,"What is it like to be an INFP?","Can a transgender woman become pregnant?",False
468531,15911,"What existed before universe?","What is the License Raj?",False
270544,454551,"Iran: As a female UK citizen, is it safe to travel to Iran?","How are sound waves formed?",False
430226,739950,"How did you spend the best day of your life?","Which is the best SAP ABAP training institute in Noida?",False
27813,608752,"Why do so many people ask questions on Quora.com when they could easily find the answers themselves online?","What are some of the little known facts about the World War 2?",False
321215,297720,"What is the environmental impact of burning coal?","What is the trick to maintaining long distance relationships?",False
474725,704863,"How can I become a problem solver?","Are we heading towards another cold war?",False
75434,75435,"What is the solution to control anger?","What's the best method to control anger?",True
57631,215314,"Why can't anything go faster than light?","I'm 18. How can I make money online?",False
69160,523154,"How do I put up my profile photo on Quora? It doesn't have an option.","What fact do you think everyone should know?",False
317583,213219,"How do I change my profile picture on Quora from my Android phone?","What is the most painless and quick way to die?",False
404780,616036,"How do I get the most out of a day?","What is the missing number 2,4,8,7,5,10,11?",False
459402,1041,"Where can I buy custom printed lanyards in Melbourne?","Is it healthy to eat egg whites every day?",False
56453,669566,"How do independent and dependent variables relate?","What has been your best sexual experience?",False
310735,789120,"Is there meaning to life?","What is the best way to create an ecommerce website?",False
245737,765814,"Who will win the 2016 presidential elections?","How do you learn to trust?",False
